text_matches,pnumber
Rumex rupestris,16
Xanthoria species,20
Quercus robor,20
Oedipoda caerulescens,22
Matthiola sinuata,22
Haliotis tuberculata,22
Pedicularis sylvatica,23
Osmia aurulenta,23
Althaea officinalis,25
Apium graveolens,25
Baldellia ranunculoides,26
Menyanthes trifoliata,26
Alisma plantago,26
Anagallis tenella,26
Calystegia soldanella,28
Myosotis secunda,28
Thymus polytrichus,28
Centaurium erythraea,28
Rhinanthus minor,30
Erica cinerea,38
Calluna vulgaris,38
Erica cinerea,38
Calluna vulgaris,38
Potentilla erecta,38
Cladonia species,38
Potentilla erecta,38
Cladonia species,39
Invertebrate species,39
Polytrichum juniperinum,39
Saturnia pavonia,39
Cladonia spp,39
Cladonia chlorophaea,39
Ulex gallii,41
Ulex europaeus,41
Ulex nanus,41
Pedicularis sylvatica,41
Ornithopus pinnatus,41
Anthus pratensis,42
Saxicola rubicola,42
Linaria cannabina,42
Andrena species,45
Lasius flavus,45
Stenodema spp,45
Polyommatus icarus,45
Lycaena phlaeus,45
Pyronia tythonus,45
Pararge aegeria,45
Sturnus vulgaris,49
Turdus viscivorus,49
Turdus philomelos,49
Hypericum perforatum,52
Danthonia decumbens,52
Conopodium majus,52
Scorzoneroides autumnalis,53
Tetragnatha spp,55
Ophioglossum vulgatum,56
Trifolium fragiferum,56
Gallinago gallinago,56
Gryllotalpa gryllotalpa,57
Equisetum fluviatile,58
Agonum marginatum,58
Cicadella viridis,58
Carex panicea,59
Potentilla palustris,59
Equisetum fluviatile,59
Ranunculus hederaceus,60
Lymnocryptes minimus,60
Emberiza schoeniclus,63
Acrocephalus scirpaceus,63
Osmia aurulenta,65
Bombus terrestris,65
Theba pisana,65
Milium vernale,66
Silene conica,66
Asparagus prostratus,66
Crioceris asparagi,66
Ophrys apifera,67
Bupleurum baldense,67
Orchis mascula,67
Osmia aurulenta,68
Cornu aspersum,68
Exaculum pusillum,70
Cicendia filiformis,70
Centaurium pulchellum,71
Armeria maritima,72
Carpobrotus edulis,73
Bombus terrestris,73
Bombus lapidarius,73
Isoetes histrix,74
Ophioglossum azoricum,74
Ophioglossum vulgatum,74
Ophioglossum lusitanicum,74
Viola kitaibeliana,75
Chlorissa cloraria,75
Melitaea cinxia,75
Formica pratensis,76
Oedipoda caerulescens,76
Alauda arvensis,76
Papaver dubium,81
Fumaria officinalis,81
Ranunculus sardous,81
Ranunculus parviflorus,82
Viola arvensis,82
Myosotis arvensis,82
Streptopelia turtur,83
Primula vulgaris,85
Viola riviniana,85
Jasione montana,85
Lunularia cruciata,85
Colletes hederae,86
Phyllitis scolopendrium,88
Asplenium obovatum,88
Asplenophyllitis microdon,88
Asplenium adiantum,88
Hieracium umbellatum,88
Torilis japonica,89
Knautia arvensis,89
Campanula portenschlagiana,91
Tortula muralis,91
Bryum capillare,91
Homalothecium sericeum,91
Grimmia pulvinata,91
Megachile centuncularis,91
Luffia lapidella,91
Lasius emarginatus,91
Polyxenus lagurus,91
Bryum capillare,91
Diploicia canescens,92
Cymbalaria muralis,92
Erigeron karvinskianus,92
Diploicia canescens,92
Trachelium caeruleum,92
Diploicia close,92
Typhoeus typhoeus,94
Agaricus campestris,94
Calvatia gigantea,94
Scathophaga stercoraria,95
Geotrupes spiniger,95
Sphaeridium species,95
Geotrupes spiniger,95
Mesembrina meridiana,95
Copris lunaris,97
Asilus crabroniformis,97
Rhinolophus ferrumequinum,97
Odynerus reniformis,99
Philanthus triangulum,99
Evernia prunastri,100
Ramalina spp,100
Tuberolachnus salignus,101
